=== AUTOMOBILE ASSEMBLER ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AL-Ghazi Tractors,387.58,387.99,393.8,351.0,386.0,-7.65,"32,504"
Atlas Honda Ltd,"1,042.77",1042.0,1110.0,1006.0,1084.0,41.7,"14,626"
Dewan Motors,28.49,26.5,28.0,25.64,27.1,-1.43,"6,698,169"
Ghandhara Automobile,405.34,391.01,415.0,380.0,413.5,7.05,"1,873,903"
Ghandhara Ind.,646.96,640.0,658.99,586.0,639.0,-7.84,"1,843,161"
Hinopak Motor,330.10,328.0,328.0,305.0,315.01,-13.31,"11,724"
Honda Atlas Cars,234.65,233.98,241.0,221.1,239.9,4.49,"610,586"
Indus Motor Co.XD,"1,896.68",1900.0,1929.0,1860.0,1897.99,-2.56,"8,325"
Millat Tractors,531.68,532.0,545.0,505.0,544.0,7.95,"100,920"
Sazgar EngineeringXD,"1,122.28",1158.0,1220.0,1111.0,1204.96,84.26,"607,288"
=== AUTOMOBILE PARTS & ACCESSORIES ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agriautos Ind.,98.92,99.9,103.0,89.03,99.0,1.31,"127,386"
Atlas Battery,226.92,233.9,233.9,221.0,232.6,5.02,"34,522"
Bal.Wheels,118.83,121.0,126.0,114.01,126.0,6.18,"2,806"
Bela Automotive,127.04,134.49,137.95,115.0,128.0,0.96,995
Dewan Auto Engg,26.72,28.44,28.47,24.05,27.73,0.19,"17,827"
Exide (PAK),677.91,680.0,745.7,680.0,700.0,22.11,"9,555"
Ghandhara Tyre,32.08,34.8,34.8,30.15,33.2,1.53,"193,500"
Loads Limited,12.94,13.0,13.15,12.45,13.08,0.15,"632,386"
Panther Tyres Ltd.,36.29,34.5,38.2,34.5,38.2,0.97,"52,845"
Thal Limited,360.39,355.0,375.0,350.0,374.0,0.89,"55,062"
Treet Battery Ltd.,9.99,10.0,10.49,9.4,10.11,0.09,"1,455,302"
=== CABLE & ELECTRICAL GOODS ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
EMCO Industries,38.00,36.0,38.0,36.0,38.0,,"5,319"
Fast Cables Ltd.,19.75,19.75,20.65,18.51,20.0,0.26,"2,550,352"
Pak Elektron,37.01,36.1,40.7,35.5,40.69,3.21,"8,894,585"
Pakistan Cables-,142.91,135.0,148.9,135.0,145.0,1.36,249
Siemens Pak.,"1,416.67",1500.0,1501.0,1499.0,1500.0,83.33,"1,761"
Waves Corp Ltd.,6.64,6.77,6.9,6.5,6.76,0.16,"943,009"
Waves Home App,7.74,7.54,8.1,7.5,7.94,0.2,"1,790,089"
=== CEMENT ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Cement,241.18,239.99,253.0,235.02,246.1,7.22,"84,885"
Bestway Cement,383.20,371.11,405.0,371.11,387.0,5.45,"12,810"
Cherat Cement,242.32,242.55,259.0,242.5,254.85,11.38,"63,409"
D.G.K.Cement,119.55,119.55,128.9,119.5,128.5,8.08,"3,900,173"
Dadabhoy Cement,3.79,3.81,4.74,3.8,4.1,0.27,"120,421"
Dandot Cement,11.69,12.5,12.5,11.51,12.1,0.41,"50,925"
Dewan Cement,9.04,9.08,9.15,8.34,8.96,-0.1,"6,549,595"
Fauji Cement,39.86,39.5,42.8,38.85,42.7,1.69,"8,256,394"
Fecto Cement,60.81,62.0,66.45,55.0,65.01,2.86,"68,562"
Flying Cement,31.40,30.98,34.54,28.8,34.54,2.37,"1,791,504"
Gharibwal CementXD,34.68,32.45,36.49,32.0,35.44,0.37,"578,079"
Kohat Cement,337.62,341.5,360.0,331.0,349.01,12.7,"131,995"
Lucky Cement,287.68,295.0,309.0,280.15,309.0,19.39,"3,642,443"
Maple Leaf,60.87,61.06,65.0,59.9,65.0,2.45,"13,544,491"
Pioneer Cement,175.45,179.9,193.0,173.0,190.14,17.45,"189,798"
Power Cem(Pref),16.59,18.24,18.24,15.51,15.51,-1.08,"13,010"
Power Cement,13.41,13.15,14.0,13.15,14.0,0.46,"3,549,239"
Safe Mix Con.Ltd,14.09,14.4,14.74,13.61,14.74,0.11,"35,290"
Thatta Cement,151.84,142.2,167.02,136.66,164.0,13.7,"1,436,599"
=== CHEMICAL ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Archroma Pak,390.00,399.0,399.0,390.29,395.0,5.0,"2,153"
